Date,Product_Name,Units_Sold,Unit_Price,Revenue,Production_Cost,Raw_Material_Cost,Labor_Hours,Defect_Count,Machine_Downtime_hrs,Inventory_Level,Supplier_Delay_days,Customer_Returns,Profit,Profit_Margin_pct
2023-01-01,Bolts & Nuts,91,70.95,6434.24,4039.68,1951.02,126.5,6,3.76,473,2,3,1002.85,15.59
2023-01-04,Plastic Valves,429,45.44,19576.89,10809.72,4914.98,651.5,30,9.71,809,4,12,7522.02,38.42
2023-01-07,Aluminum Sheets,228,17.75,3960.61,2895.51,1190.85,383.9,8,2.7,299,2,3,-916.58,-23.14
2023-01-10,Plastic Valves,112,122.27,13818.63,7852.54,4499.07,139.7,8,3.13,636,4,4,5261.43,38.07
2023-01-13,Plastic Valves,401,138.74,53022.69,32548.65,18311.23,252.8,7,4.27,565,1,5,18931.32,35.7
2023-01-16,Copper Pipes,280,13.15,3511.65,2598.66,1559.05,365.6,19,8.27,188,2,8,-193.49,-5.51
2023-01-19,Aluminum Sheets,290,107.3,32120.84,23773.32,14248.0,400.3,5,3.99,367,0,2,7205.22,22.43
2023-01-22,Aluminum Sheets,101,53.03,5281.15,3510.31,1794.07,163.4,4,2.39,754,5,3,194.44,3.68
2023-01-25,Aluminum Sheets,145,132.58,18507.16,12517.64,6932.24,166.4,10,5.0,670,2,5,4450.87,24.05
2023-01-28,Plastic Valves,437,43.13,18889.73,12083.55,7116.64,302.1,9,3.31,588,2,5,4819.3,25.51
2023-01-31,Bolts & Nuts,271,141.28,39320.6,23932.17,13639.65,250.9,7,2.98,976,3,3,14695.84,37.37
2023-02-03,Aluminum Sheets,456,83.48,36985.1,22772.94,10235.74,476.3,28,11.09,637,2,10,13556.0,36.65
2023-02-06,Plastic Valves,280,187.98,53281.23,36471.2,17874.86,411.3,17,5.14,146,6,8,15223.52,28.57
2023-02-09,Copper Pipes,286,36.13,9904.71,6938.0,2954.42,387.9,16,5.06,387,2,5,1599.13,16.15
2023-02-12,Bolts & Nuts,192,74.8,13717.74,9716.49,5740.6,198.6,11,3.92,877,2,5,3090.01,22.53
2023-02-15,Copper Pipes,220,31.56,6964.97,4930.67,2570.04,435.6,11,3.38,115,2,4,1415.17,20.32
2023-02-18,Bolts & Nuts,78,185.69,14542.68,8263.75,3683.39,109.9,2,1.14,810,3,1,5650.44,38.85
